EMPRESA (SIGLA);EMPRESA (NOME);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;ASSENTOS
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBAE;AREALVA;SP;SBKP;CAMPINAS;SP;DOMÉSTICA;REGULAR;2671;102;3350
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBAE;AREALVA;SP;SBML;MARÍLIA;SP;DOMÉSTICA;REGULAR;0;0;1818
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBAR;ARACAJU;SE;SBKP;CAMPINAS;SP;DOMÉSTICA;REGULAR;2511;94;3410
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBAR;ARACAJU;SE;SBMO;RIO LARGO;AL;DOMÉSTICA;REGULAR;571;6;3936
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBAR;ARACAJU;SE;SBRF;RECIFE;PE;DOMÉSTICA;REGULAR;1639;21;2440
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBAR;ARACAJU;SE;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;1784;39;3130
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBAT;ALTA FLORESTA;MT;SBCY;VÁRZEA GRANDE;MT;DOMÉSTICA;REGULAR;2826;48;3268
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBAU;ARAÇATUBA;SP;SBKP;CAMPINAS;SP;DOMÉSTICA;REGULAR;3245;115;4054
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBAX;ARAXÁ;MG;SBCF;CONFINS;MG;DOMÉSTICA;REGULAR;1073;19;1888
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBE;BELÉM;PA;SBBR;BRASÍLIA;DF;DOMÉSTICA;REGULAR;13;3;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBE;BELÉM;PA;SBCF;CONFINS;MG;DOMÉSTICA;REGULAR;4971;184;7068
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBE;BELÉM;PA;SBCJ;PARAUAPEBAS;PA;DOMÉSTICA;REGULAR;1179;14;1496
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBE;BELÉM;PA;SBEG;MANAUS;AM;DOMÉSTICA;REGULAR;2085;51;3540
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBE;BELÉM;PA;SBFZ;FORTALEZA;CE;DOMÉSTICA;REGULAR;1659;20;3658
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBE;BELÉM;PA;SBGR;GUARULHOS;SP;DOMÉSTICA;REGULAR;261;9;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBE;BELÉM;PA;SBHT;ALTAMIRA;PA;DOMÉSTICA;REGULAR;4967;106;10106
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBE;BELÉM;PA;SBIZ;IMPERATRIZ;MA;DOMÉSTICA;REGULAR;704;4;2950
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBE;BELÉM;PA;SBKP;CAMPINAS;SP;DOMÉSTICA;REGULAR;1439;95;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBE;BELÉM;PA;SBMA;MARABÁ;PA;DOMÉSTICA;REGULAR;733;6;1564
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBE;BELÉM;PA;SBMQ;MACAPÁ;AP;DOMÉSTICA;REGULAR;4300;64;5218
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBE;BELÉM;PA;SBRF;RECIFE;PE;DOMÉSTICA;REGULAR;372;15;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBE;BELÉM;PA;SBSG;SÃO GONÇALO DO AMARANTE;RN;DOMÉSTICA;REGULAR;45;1;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBE;BELÉM;PA;SBSL;SÃO LUÍS;MA;DOMÉSTICA;REGULAR;1038;38;2160
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBE;BELÉM;PA;SBSN;SANTARÉM;PA;DOMÉSTICA;REGULAR;2357;53;3808
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBE;BELÉM;PA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;238;4;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBE;BELÉM;PA;SBTB;ORIXIMINÁ;PA;DOMÉSTICA;REGULAR;228;1;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBE;BELÉM;PA;SBTU;TUCURUÍ;PA;DOMÉSTICA;REGULAR;321;23;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBE;BELÉM;PA;SBUL;UBERLÂNDIA;MG;DOMÉSTICA;REGULAR;22;0;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBE;BELÉM;PA;SWGN;ARAGUAÍNA;TO;DOMÉSTICA;REGULAR;43;0;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBH;BELO HORIZONTE;MG;SBCB;CABO FRIO;RJ;DOMÉSTICA;REGULAR;720;26;978
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBH;BELO HORIZONTE;MG;SBGR;GUARULHOS;SP;DOMÉSTICA;REGULAR;2390;97;3198
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBH;BELO HORIZONTE;MG;SBIP;SANTANA DO PARAÍSO;MG;DOMÉSTICA;REGULAR;601;48;2080
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBH;BELO HORIZONTE;MG;SBKP;CAMPINAS;SP;DOMÉSTICA;REGULAR;4652;480;6482
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBH;BELO HORIZONTE;MG;SBMK;MONTES CLAROS;MG;DOMÉSTICA;REGULAR;2710;43;3554
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBH;BELO HORIZONTE;MG;SBUL;UBERLÂNDIA;MG;DOMÉSTICA;REGULAR;1468;15;1740
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBR;BRASÍLIA;DF;SBBE;BELÉM;PA;DOMÉSTICA;REGULAR;18;0;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBR;BRASÍLIA;DF;SBCF;CONFINS;MG;DOMÉSTICA;REGULAR;9236;216;13180
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBR;BRASÍLIA;DF;SBCJ;PARAUAPEBAS;PA;DOMÉSTICA;REGULAR;681;7;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBR;BRASÍLIA;DF;SBCT;SÃO JOSÉ DOS PINHAIS;PR;DOMÉSTICA;REGULAR;129;5;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBR;BRASÍLIA;DF;SBCY;VÁRZEA GRANDE;MT;DOMÉSTICA;REGULAR;2623;42;3068
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBR;BRASÍLIA;DF;SBEG;MANAUS;AM;DOMÉSTICA;REGULAR;2242;78;2950
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBR;BRASÍLIA;DF;SBGR;GUARULHOS;SP;DOMÉSTICA;REGULAR;5653;114;9100
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBR;BRASÍLIA;DF;SBKP;CAMPINAS;SP;DOMÉSTICA;REGULAR;14428;498;19030
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBR;BRASÍLIA;DF;SBMA;MARABÁ;PA;DOMÉSTICA;REGULAR;806;13;2950
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBR;BRASÍLIA;DF;SBPA;PORTO ALEGRE;RS;DOMÉSTICA;REGULAR;902;26;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBR;BRASÍLIA;DF;SBPJ;PALMAS;TO;DOMÉSTICA;REGULAR;553;37;1538
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBR;BRASÍLIA;DF;SBRJ;RIO DE JANEIRO;RJ;DOMÉSTICA;REGULAR;5782;148;7774
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBR;BRASÍLIA;DF;SBRP;RIBEIRÃO PRETO;SP;DOMÉSTICA;REGULAR;288;2;340
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBR;BRASÍLIA;DF;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;285;1;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBR;BRASÍLIA;DF;SBTE;TERESINA;PI;DOMÉSTICA;REGULAR;1688;23;2832
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBR;BRASÍLIA;DF;SBUL;UBERLÂNDIA;MG;DOMÉSTICA;REGULAR;1369;16;1806
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBR;BRASÍLIA;DF;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;836;25;1745
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBR;BRASÍLIA;DF;SWGN;ARAGUAÍNA;TO;DOMÉSTICA;REGULAR;775;9;272
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBV;BOA VISTA;RR;SBCF;CONFINS;MG;DOMÉSTICA;REGULAR;300;10;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBV;BOA VISTA;RR;SBEG;MANAUS;AM;DOMÉSTICA;REGULAR;2703;53;3658
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBBV;BOA VISTA;RR;SBGR;GUARULHOS;SP;DOMÉSTICA;REGULAR;147;1;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCA;CASCAVEL;PR;SBCT;SÃO JOSÉ DOS PINHAIS;PR;DOMÉSTICA;REGULAR;2488;42;3022
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCA;CASCAVEL;PR;SBKP;CAMPINAS;SP;DOMÉSTICA;REGULAR;3263;112;3632
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCB;CABO FRIO;RJ;SBBH;BELO HORIZONTE;MG;DOMÉSTICA;REGULAR;871;26;978
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCB;CABO FRIO;RJ;SBCP;CAMPOS DOS GOYTACAZES;RJ;DOMÉSTICA;REGULAR;112;9;1812
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCB;CABO FRIO;RJ;SBKP;CAMPINAS;SP;DOMÉSTICA;REGULAR;1424;42;1814
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCF;CONFINS;MG;SBAX;ARAXÁ;MG;DOMÉSTICA;REGULAR;655;14;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCF;CONFINS;MG;SBBE;BELÉM;PA;DOMÉSTICA;REGULAR;4216;199;7186
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCF;CONFINS;MG;SBBR;BRASÍLIA;DF;DOMÉSTICA;REGULAR;10159;203;12798
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCF;CONFINS;MG;SBBV;BOA VISTA;RR;DOMÉSTICA;REGULAR;500;11;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCF;CONFINS;MG;SBCJ;PARAUAPEBAS;PA;DOMÉSTICA;REGULAR;3494;56;4672
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCF;CONFINS;MG;SBCT;SÃO JOSÉ DOS PINHAIS;PR;DOMÉSTICA;REGULAR;4884;144;5996
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCF;CONFINS;MG;SBCY;VÁRZEA GRANDE;MT;DOMÉSTICA;REGULAR;1746;37;2910
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCF;CONFINS;MG;SBEG;MANAUS;AM;DOMÉSTICA;REGULAR;1666;112;3068
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCF;CONFINS;MG;SBFZ;FORTALEZA;CE;DOMÉSTICA;REGULAR;3226;102;3878
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCF;CONFINS;MG;SBGO;GOIÂNIA;GO;DOMÉSTICA;REGULAR;5983;110;7232
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCF;CONFINS;MG;SBGR;GUARULHOS;SP;DOMÉSTICA;REGULAR;14233;551;19252
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCF;CONFINS;MG;SBGV;GOVERNADOR VALADARES;MG;DOMÉSTICA;REGULAR;1805;46;2166
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCF;CONFINS;MG;SBHT;ALTAMIRA;PA;DOMÉSTICA;REGULAR;2291;25;1356
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCF;CONFINS;MG;SBIP;SANTANA DO PARAÍSO;MG;DOMÉSTICA;REGULAR;4015;128;5650
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCF;CONFINS;MG;SBIZ;IMPERATRIZ;MA;DOMÉSTICA;REGULAR;1270;31;3068
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCF;CONFINS;MG;SBKP;CAMPINAS;SP;DOMÉSTICA;REGULAR;24615;1424;31644
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCF;CONFINS;MG;SBMA;MARABÁ;PA;DOMÉSTICA;REGULAR;133;5;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCF;CONFINS;MG;SBMK;MONTES CLAROS;MG;DOMÉSTICA;REGULAR;5987;100;7040
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCF;CONFINS;MG;SBMO;RIO LARGO;AL;DOMÉSTICA;REGULAR;548;0;566
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCF;CONFINS;MG;SBPA;PORTO ALEGRE;RS;DOMÉSTICA;REGULAR;4362;205;5920
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCF;CONFINS;MG;SBPJ;PALMAS;TO;DOMÉSTICA;REGULAR;483;6;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCF;CONFINS;MG;SBPS;PORTO SEGURO;BA;DOMÉSTICA;REGULAR;4560;104;5888
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCF;CONFINS;MG;SBPV;PORTO VELHO;RO;DOMÉSTICA;REGULAR;1130;24;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCF;CONFINS;MG;SBQV;VITÓRIA DA CONQUISTA;BA;DOMÉSTICA;REGULAR;3266;73;3840
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCF;CONFINS;MG;SBRF;RECIFE;PE;DOMÉSTICA;REGULAR;8075;286;9852
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCF;CONFINS;MG;SBRJ;RIO DE JANEIRO;RJ;DOMÉSTICA;REGULAR;13782;587;17966
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCF;CONFINS;MG;SBSG;SÃO GONÇALO DO AMARANTE;RN;DOMÉSTICA;REGULAR;2378;95;3242
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCF;CONFINS;MG;SBSL;SÃO LUÍS;MA;DOMÉSTICA;REGULAR;4872;116;6490
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCF;CONFINS;MG;SBSP;SÃO PAULO;SP;DOMÉSTICA;REGULAR;14905;412;16956
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCF;CONFINS;MG;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;5658;133;7068
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCF;CONFINS;MG;SBTE;TERESINA;PI;DOMÉSTICA;REGULAR;571;15;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCF;CONFINS;MG;SBUL;UBERLÂNDIA;MG;DOMÉSTICA;REGULAR;1672;21;1818
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCF;CONFINS;MG;SBUR;UBERABA;MG;DOMÉSTICA;REGULAR;864;18;1888
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCF;CONFINS;MG;SBVT;VITÓRIA;ES;DOMÉSTICA;REGULAR;17476;295;20516
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCF;CONFINS;MG;SNJD;FEIRA DE SANTANA;BA;DOMÉSTICA;REGULAR;6;0;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCF;CONFINS;MG;SNTF;TEIXEIRA DE FREITAS;BA;DOMÉSTICA;REGULAR;750;32;908
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCG;CAMPO GRANDE;MS;SBCR;CORUMBÁ;MS;DOMÉSTICA;REGULAR;1342;20;1678
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCG;CAMPO GRANDE;MS;SBCY;VÁRZEA GRANDE;MT;DOMÉSTICA;REGULAR;1677;40;2184
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCG;CAMPO GRANDE;MS;SBGR;GUARULHOS;SP;DOMÉSTICA;REGULAR;3098;52;3658
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCG;CAMPO GRANDE;MS;SBKP;CAMPINAS;SP;DOMÉSTICA;REGULAR;11195;427;13438
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCG;CAMPO GRANDE;MS;SBPA;PORTO ALEGRE;RS;DOMÉSTICA;REGULAR;183;2;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCG;CAMPO GRANDE;MS;SBRJ;RIO DE JANEIRO;RJ;DOMÉSTICA;REGULAR;793;7;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2015;1;SBCH;CHAPECÓ;SC;SBKP;CAMPINAS;SP;DOMÉSTICA;REGULAR;3365;55;3990
