EMPRESA (SIGLA);EMPRESA (NOME);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;ASSENTOS
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2006;1;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;4;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2006;1;SBLP;BOM JESUS DA LAPA;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;27;0;60
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2006;1;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;69;0;224
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2006;1;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;7;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2006;1;SBSV;SALVADOR;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;93;0;210
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2006;1;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;28;0;98
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2006;1;SBSV;SALVADOR;BA;SNVR;VERA CRUZ;BA;DOMÉSTICA;REGULAR;14;0;45
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2006;1;SNBR;BARREIRAS;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;65;0;182
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2006;1;SNBR;BARREIRAS;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;39;0;60
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2006;1;SNBR;BARREIRAS;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;9;0;14
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2006;1;SNGI;GUANAMBI;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;20;0;98
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2006;1;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;112;0;239
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2006;1;SNVR;VERA CRUZ;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;10;0;15
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2006;2;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;18;0;14
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2006;2;SBLP;BOM JESUS DA LAPA;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;22;0;45
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2006;2;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;33;0;168
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2006;2;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;13;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2006;2;SBSV;SALVADOR;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;80;0;165
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2006;2;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;19;0;70
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2006;2;SBSV;SALVADOR;BA;SNVR;VERA CRUZ;BA;DOMÉSTICA;REGULAR;0;0;15
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2006;2;SNBR;BARREIRAS;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;49;0;154
