origem,destino,data,menor preço,data de extração
GYN,GRU,2025-07-10,644.2,2025-06-20
GYN,SSA,2025-07-11,870.3,2025-06-20
GYN,SSA,2025-08-15,870.3,2025-06-20
GYN,SSA,2025-09-12,870.3,2025-06-20
GYN,SSA,2025-10-17,870.3,2025-06-20
GYN,SSA,2025-11-14,870.3,2025-06-20
GYN,SSA,2025-12-12,870.3,2025-06-20
GYN,SSA,2026-01-16,870.3,2025-06-20
GYN,SSA,2026-02-20,870.3,2025-06-20
GYN,SSA,2026-03-13,870.3,2025-06-20
GYN,SSA,2026-04-10,870.3,2025-06-20
GYN,SSA,2026-05-15,870.3,2025-06-20
GYN,SSA,2026-06-19,870.3,2025-06-20
GYN,SSA,2025-07-01,907.2,2025-06-20
GYN,SSA,2025-08-01,907.2,2025-06-20
GYN,SSA,2025-09-01,907.2,2025-06-20
GYN,SSA,2025-10-01,907.2,2025-06-20
GYN,SSA,2025-11-01,907.2,2025-06-20
GYN,SSA,2025-12-01,907.2,2025-06-20
GYN,SSA,2026-01-01,907.2,2025-06-20
GYN,SSA,2026-02-01,907.2,2025-06-20
GYN,SSA,2026-03-01,907.2,2025-06-20
GYN,SSA,2026-04-01,907.2,2025-06-20
GYN,SSA,2026-05-01,907.2,2025-06-20
GYN,GRU,2025-07-15,500.2,2025-06-21
GYN,GRU,2025-08-15,500.2,2025-06-21
GYN,GRU,2025-09-15,500.2,2025-06-21
GYN,GRU,2025-10-15,500.2,2025-06-21
GYN,GRU,2025-11-15,500.2,2025-06-21
GYN,GRU,2025-12-15,500.2,2025-06-21
GYN,CGH,2025-07-15,500.2,2025-06-21
GYN,CGH,2025-08-15,500.2,2025-06-21
GYN,CGH,2025-09-15,500.2,2025-06-21
GYN,CGH,2025-10-15,500.2,2025-06-21
GYN,CGH,2025-11-15,500.2,2025-06-21
GYN,CGH,2025-12-15,500.2,2025-06-21
GYN,BSB,2025-07-15,500.2,2025-06-21
GYN,BSB,2025-08-15,500.2,2025-06-21
GYN,BSB,2025-09-15,500.2,2025-06-21
GYN,BSB,2025-10-15,500.2,2025-06-21
GYN,BSB,2025-11-15,500.2,2025-06-21
GYN,BSB,2025-12-15,500.2,2025-06-21
GYN,GRU,2025-07-15,500.2,2025-06-21
GYN,GRU,2025-08-15,500.2,2025-06-21
GYN,GRU,2025-07-15,500.2,2025-06-21
GYN,GRU,2025-08-15,500.2,2025-06-21
GYN,GRU,2025-07-15,500.2,2025-06-21
GYN,GRU,2025-08-15,384.09,2025-06-21
GYN,GRU,2025-07-15,500.2,2025-06-21
GYN,GRU,2025-08-15,384.09,2025-06-21
GYN,GRU,2025-10-15,266.2,2025-06-21
GYN,GRU,2025-11-15,323.2,2025-06-21
GYN,GRU,2025-12-15,323.2,2025-06-21
GYN,CGH,2025-07-15,722.2,2025-06-21
GYN,CGH,2025-08-15,538.2,2025-06-21
GYN,CGH,2025-09-15,263.2,2025-06-21
GYN,CGH,2025-10-15,263.2,2025-06-21
GYN,CGH,2025-11-15,323.2,2025-06-21
GYN,CGH,2025-12-15,323.2,2025-06-21
GYN,BSB,2025-08-15,392.47,2025-06-21
GYN,BSB,2025-09-15,263.2,2025-06-21
GYN,BSB,2025-10-15,182.2,2025-06-21
GYN,BSB,2025-11-15,263.2,2025-06-21
GYN,BSB,2025-12-15,263.2,2025-06-21
GYN,GRU,2025-08-15,384.09,2025-06-21
GYN,GRU,2025-09-15,266.2,2025-06-21
GYN,GRU,2025-10-15,266.2,2025-06-21
GYN,GRU,2025-11-15,323.2,2025-06-21
GYN,GRU,2025-12-15,323.2,2025-06-21
GYN,GRU,2025-07-15,500.2,2025-06-21
GYN,GRU,2025-08-15,384.09,2025-06-21
